week,year,month,search_index,search_growth,momentum_4w,keyword_frequency,brand_popularity,avg_price,avg_rating,cotton_ratio,printed_ratio,oversized_ratio,pastel_ratio,dark_ratio,bright_ratio,pattern_printed_ratio,pattern_plain_ratio,image_count,availability_count,discount_avg,new_arrival_ratio,lag_1_search,lag_2_search,lag_3_search,rolling_mean_4w,rolling_std_4w,season_Monsoon,season_Summer,season_Winter,category_Jeans,category_Kurti,category_Saree,category_Streetwear,category_TShirt,trend_label,next_week_search
14,2021,4,65.06,0.1946382666177011,62.07,211,0.61,7606.04,4.62,0.39,0.14,0.04,0.33,0.31,0.36,0.14,0.86,290,341,0.2,0.22,54.46,65.27,63.49,62.07,5.135127392123149,0,1,0,0,0,0,0,0,2,68.4
15,2021,4,68.4,0.0513372271749155,63.2975,219,0.41,2082.93,4.13,0.36,0.53,0.31,0.51,0.16,0.33,0.53,0.47,269,320,0.15,0.1,65.06,54.46,65.27,63.2975,6.086435054008775,0,1,0,0,0,0,0,0,2,63.84
16,2021,4,63.84,-0.0666666666666666,62.940000000000005,179,0.57,2003.61,4.07,0.14,0.4,0.33,0.42,0.24,0.34,0.4,0.6,276,370,0.26,0.24,68.4,65.06,54.46,62.940000000000005,5.972894329106017,0,1,0,0,0,0,0,0,0,57.03
17,2021,5,57.03,-0.106672932330827,63.5825,172,0.44,1798.27,4.48,0.07,0.39,0.11,0.54,0.2,0.26,0.39,0.61,270,310,0.1,0.12,63.84,68.4,65.06,63.5825,4.7746858535405385,0,1,0,0,0,0,0,0,0,58.28
18,2021,5,58.28,0.0219182886200246,61.8875,155,0.54,1864.9,3.73,0.23,0.54,0.27,0.43,0.1,0.47,0.54,0.46,246,297,0.13,0.14,57.03,63.84,68.4,61.8875,5.2546574579129555,0,1,0,0,0,0,0,0,1,59.07
19,2021,5,59.07,0.0135552505147562,59.555,185,0.4,2047.77,4.58,0.41,0.86,0.0,0.11,0.18,0.71,0.86,0.14,257,309,0.22,0.25,58.28,57.03,63.84,59.555,2.977566120172709,0,1,0,0,0,0,0,0,1,58.8
20,2021,5,58.8,-0.0045708481462671,58.295,181,0.72,1840.89,4.23,0.02,0.49,0.04,0.46,0.2,0.34,0.49,0.51,242,282,0.22,0.47,59.07,58.28,57.03,58.295,0.9048204241728951,0,1,0,0,0,0,0,0,1,59.39
21,2021,6,59.39,0.0100340136054422,58.885,188,0.34,2174.44,4.01,0.32,0.3,0.05,0.38,0.35,0.27,0.3,0.7,226,319,0.25,0.09,58.8,59.07,58.28,58.885,0.46992907266280665,1,0,0,0,0,0,0,0,1,57.77
22,2021,6,57.77,-0.0272773194140427,58.7575,162,0.74,1926.9,4.05,0.31,0.25,0.12,0.22,0.83,0.0,0.25,0.75,268,309,0.23,0.49,59.39,58.8,59.07,58.7575,0.7011122116564019,1,0,0,0,0,0,0,0,1,56.75
23,2021,6,56.75,-0.0176562229530898,58.1775,178,0.84,2172.44,3.68,0.52,0.46,0.03,0.32,0.39,0.29,0.46,0.54,267,319,0.15,0.1,57.77,59.39,58.8,58.1775,1.1635398575040024,1,0,0,0,0,0,0,0,1,51.29
24,2021,6,51.29,-0.0962114537444933,56.3,150,0.43,2004.95,4.66,0.1,0.38,0.12,0.43,0.22,0.35,0.38,0.62,281,293,0.27,0.15,56.75,57.77,59.39,56.3,3.5124350527804165,1,0,0,0,0,0,0,0,0,50.88
25,2021,7,50.88,-0.00799376096705,54.1725,155,0.38,1967.09,4.42,0.28,0.6,0.24,0.27,0.34,0.39,0.6,0.4,244,246,0.27,0.15,51.29,56.75,57.77,54.1725,3.5932749686046437,1,0,0,0,0,0,0,0,1,48.69
26,2021,7,48.69,-0.0430424528301888,51.9025,141,0.79,1830.13,4.34,0.2,0.34,0.26,0.59,0.22,0.19,0.34,0.66,238,270,0.17,0.24,50.88,51.29,56.75,51.9025,3.4272960673589625,1,0,0,0,0,0,0,0,1,45.41
27,2021,7,45.41,-0.0673649620045183,49.0675,134,0.62,1834.7,4.03,0.18,0.13,0.19,0.45,0.18,0.37,0.13,0.87,261,310,0.2,0.11,48.69,50.88,51.29,49.067499999999995,2.6922403929319656,1,0,0,0,0,0,0,0,0,46.55
28,2021,7,46.55,0.0251046025104602,47.8825,152,0.63,2332.75,4.19,0.1,0.41,0.0,0.06,0.48,0.46,0.41,0.59,267,285,0.17,0.04,45.41,48.69,50.88,47.8825,2.4170143428069624,1,0,0,0,0,0,0,0,1,41.12
29,2021,8,41.12,-0.1166487647690655,45.4425,116,0.31,1635.85,3.89,0.48,0.18,0.07,0.27,0.42,0.31,0.18,0.82,236,284,0.15,0.36,46.55,45.41,48.69,45.442499999999995,3.1863184084459424,1,0,0,0,0,0,0,0,0,42.97
30,2021,8,42.97,0.0449902723735409,44.0125,120,0.48,2218.42,3.94,0.24,0.58,0.12,0.23,0.3,0.47,0.58,0.42,244,313,0.17,0.51,41.12,46.55,45.41,44.012499999999996,2.4389393186386643,1,0,0,0,0,0,0,0,1,40.16
31,2021,8,40.16,-0.0653944612520364,42.7,114,0.82,1988.59,4.46,0.24,0.27,0.01,0.06,0.26,0.68,0.27,0.73,224,230,0.19,0.14,42.97,41.12,46.55,42.699999999999996,2.819184279184632,1,0,0,0,0,0,0,0,0,36.03
32,2021,8,36.03,-0.1028386454183265,40.07,106,0.86,2153.73,4.37,0.25,0.24,0.13,0.4,0.65,0.0,0.24,0.76,256,269,0.22,0.33,40.16,42.97,41.12,40.07,2.9349730265657863,1,0,0,0,0,0,0,0,0,37.07
33,2021,9,37.07,0.028864834859839,39.0575,98,0.59,2090.41,3.99,0.03,0.64,0.09,0.88,0.35,0.0,0.64,0.36,234,257,0.21,0.11,36.03,40.16,42.97,39.0575,3.1431976817675413,0,0,0,0,0,0,0,0,1,35.86
34,2021,9,35.86,-0.0326409495548961,37.28,129,0.42,1881.13,4.11,0.07,0.44,0.18,0.85,0.56,0.0,0.44,0.56,201,312,0.3,0.27,37.07,36.03,40.16,37.28,1.9931047806548063,0,0,0,0,0,0,0,0,1,38.4
35,2021,9,38.4,0.0708310094813162,36.84,109,0.55,2008.77,4.39,0.15,0.49,0.26,0.37,0.45,0.18,0.49,0.51,223,253,0.2,0.14,35.86,37.07,36.03,36.839999999999996,1.16947281570334,0,0,0,0,0,0,0,0,2,33.35
36,2021,9,33.35,-0.1315104166666666,36.17,101,0.46,2155.6,3.86,0.22,0.2,0.06,0.59,0.54,0.0,0.2,0.8,244,269,0.27,0.07,38.4,35.86,37.07,36.17,2.147199726776524,0,0,0,0,0,0,0,0,0,32.14
37,2021,10,32.14,-0.0362818590704647,34.9375,110,0.61,1954.38,4.13,0.11,0.75,0.06,0.6,0.52,0.0,0.75,0.25,189,299,0.28,0.3,33.35,38.4,35.86,34.9375,2.780052457539124,0,0,0,0,0,0,0,0,1,38.01
38,2021,10,38.01,0.1826384567517112,35.475,107,0.88,2172.85,3.29,0.39,0.21,0.28,0.62,0.21,0.17,0.21,0.79,224,244,0.21,0.27,32.14,33.35,38.4,35.475,3.194771770669895,0,0,0,0,0,0,0,0,2,34.23
39,2021,10,34.23,-0.0994475138121547,34.4325,97,0.6,2374.21,3.84,0.29,0.07,0.34,0.24,0.74,0.02,0.07,0.93,236,292,0.19,0.16,38.01,32.14,33.35,34.4325,2.534224075860179,0,0,0,0,0,0,0,0,0,39.37
40,2021,10,39.37,0.1501606777680397,35.9375,100,0.89,2142.95,4.03,0.23,0.25,0.23,0.29,0.48,0.23,0.25,0.75,229,270,0.22,0.31,34.23,38.01,32.14,35.9375,3.337357986991488,0,0,0,0,0,0,0,0,2,39.04
41,2021,11,39.04,-0.0083820167640334,37.6625,113,0.88,2145.95,3.82,0.44,0.1,0.1,0.85,0.66,0.0,0.1,0.9,233,315,0.14,0.55,39.37,34.23,38.01,37.662499999999994,2.3604995940130302,0,0,0,0,0,0,0,0,1,42.08
42,2021,11,42.08,0.0778688524590163,38.68,120,0.47,1777.96,4.41,0.47,0.33,0.28,0.43,0.45,0.12,0.33,0.67,227,292,0.22,0.37,39.04,39.37,34.23,38.68,3.2643631333950722,0,0,0,0,0,0,0,0,2,44.82
43,2021,11,44.82,0.0651140684410647,41.3275,153,0.46,2009.31,4.2,0.42,0.11,0.01,0.23,0.75,0.02,0.11,0.89,232,259,0.26,0.13,42.08,39.04,39.37,41.3275,2.697423153060821,0,0,0,0,0,0,0,0,2,40.52
44,2021,11,40.52,-0.0959393128067825,41.615,135,0.68,1927.11,4.15,0.45,0.51,0.01,0.31,0.38,0.31,0.51,0.49,228,272,0.19,0.19,44.82,42.08,39.04,41.614999999999995,2.471025428171176,0,0,0,0,0,0,0,0,0,46.58
45,2021,12,46.58,0.1495557749259624,43.5,147,0.67,2067.01,4.27,0.54,0.28,0.01,0.3,0.77,0.0,0.28,0.72,268,306,0.11,0.21,40.52,44.82,42.08,43.5,2.7157319455354294,0,0,1,0,0,0,0,0,2,47.19
46,2021,12,47.19,0.0130957492486045,44.7775,154,0.56,1860.53,4.44,0.54,0.21,0.31,0.52,0.61,0.0,0.21,0.79,267,293,0.17,0.08,46.58,40.52,44.82,44.7775,3.010939775773475,0,0,1,0,0,0,0,0,1,42.37
47,2021,12,42.37,-0.1021402839584657,44.165,153,0.73,2173.64,4.0,0.53,0.38,0.27,0.08,0.34,0.58,0.38,0.62,283,304,0.16,0.57,47.19,46.58,40.52,44.165,3.2399022619005393,0,0,1,0,0,0,0,0,0,47.22
48,2021,12,47.22,0.1144677838092991,45.84,143,0.68,1965.6,4.09,0.48,0.12,0.11,0.61,0.44,0.0,0.12,0.88,259,302,0.23,0.1,42.37,47.19,46.58,45.839999999999996,2.3320520291511637,0,0,1,0,0,0,0,0,2,47.69
49,2022,1,47.69,0.0099534095722151,46.1175,160,0.71,1498.21,3.87,0.09,0.68,0.18,0.37,0.34,0.29,0.68,0.32,231,296,0.19,0.06,47.22,42.37,47.19,46.1175,2.508802835351561,0,0,1,0,0,0,0,0,1,50.32
50,2022,1,50.32,0.0551478297336969,46.9,146,0.66,1824.07,4.3,0.19,0.81,0.16,0.43,0.38,0.19,0.81,0.19,233,299,0.22,0.3,47.69,47.22,42.37,46.9,3.313799430663836,0,0,1,0,0,0,0,0,2,56.43
51,2022,1,56.43,0.1214228934817169,50.415,184,0.49,1916.18,4.35,0.1,0.11,0.05,0.69,0.69,0.0,0.11,0.89,262,315,0.26,0.37,50.32,47.69,47.22,50.415,4.235677828478888,0,0,1,0,0,0,0,0,2,60.49
52,2022,1,60.49,0.0719475456317562,53.7325,187,0.77,1940.99,3.96,0.27,0.13,0.05,0.36,0.1,0.54,0.13,0.87,260,341,0.19,0.17,56.43,50.32,47.69,53.7325,5.805091874093581,0,0,1,0,0,0,0,0,2,63.36
53,2022,2,63.36,0.0474458588196395,57.65,186,0.86,1885.1,4.36,0.31,0.24,0.21,0.28,0.49,0.23,0.24,0.76,280,356,0.17,0.25,60.49,56.43,50.32,57.65,5.653523974773041,0,0,1,0,0,0,0,0,1,59.8
54,2022,2,59.8,-0.0561868686868687,60.02,192,0.38,2035.11,3.79,0.21,0.22,0.07,0.59,0.51,0.0,0.22,0.78,265,309,0.25,0.7,63.36,60.49,56.43,60.019999999999996,2.846811081426601,0,0,1,0,0,0,0,0,0,64.83
55,2022,2,64.83,0.0841137123745818,62.12,177,0.71,1868.36,3.87,0.42,0.52,0.12,0.47,0.81,0.0,0.52,0.48,291,329,0.23,0.19,59.8,63.36,60.49,62.12,2.3749385956973863,0,0,1,0,0,0,0,0,2,63.73
56,2022,2,63.73,-0.0169674533395033,62.93,179,0.7,2299.86,4.2,0.32,0.29,0.1,0.85,0.08,0.07,0.29,0.71,253,338,0.23,0.14,64.83,59.8,63.36,62.93,2.178057238305043,0,0,1,0,0,0,0,0,1,64.37
57,2022,3,64.37,0.0100423662325437,63.1825,183,0.84,1907.04,4.29,0.46,0.44,0.19,0.06,0.15,0.79,0.44,0.56,288,292,0.21,0.29,63.73,64.83,59.8,63.1825,2.2996720780725037,0,1,0,0,0,0,0,0,1,64.48
58,2022,3,64.48,0.0017088705918906,64.3525,204,0.67,2003.81,4.3,0.33,0.05,0.07,0.47,0.41,0.12,0.05,0.95,261,301,0.13,0.26,64.37,63.73,64.83,64.3525,0.4590116193150198,0,1,0,0,0,0,0,0,1,71.92
59,2022,3,71.92,0.1153846153846154,66.125,225,0.81,1815.64,4.13,0.3,0.2,0.2,0.26,0.08,0.66,0.2,0.8,292,332,0.23,0.16,64.48,64.37,63.73,66.125,3.8774605091476233,0,1,0,0,0,0,0,0,2,71.63
60,2022,3,71.63,-0.0040322580645162,68.1,215,0.83,2057.93,3.96,0.41,0.15,0.01,0.06,0.72,0.22,0.15,0.85,309,351,0.22,0.24,71.92,64.48,64.37,68.1,4.2454132111412255,0,1,0,0,0,0,0,0,1,60.64
61,2022,4,60.64,-0.1534273349155381,67.1675,178,0.67,1794.94,3.98,0.09,0.5,0.0,0.08,0.09,0.83,0.5,0.5,268,318,0.22,0.1,71.63,71.92,64.48,67.1675,5.547704480233171,0,1,0,0,0,0,0,0,0,63.99
62,2022,4,63.99,0.0552440633245383,67.045,207,0.34,1677.33,3.86,0.58,0.17,0.1,0.58,0.22,0.2,0.17,0.83,254,330,0.21,0.11,60.64,71.63,71.92,67.045,5.63160427113499,0,1,0,0,0,0,0,0,2,60.33
63,2022,4,60.33,-0.0571964369432724,64.1475,196,0.43,2177.8,4.62,0.17,0.26,0.28,0.64,0.37,0.0,0.26,0.74,250,311,0.16,0.07,63.99,60.64,71.63,64.1475,5.256376286631896,0,1,0,0,0,0,0,0,0,62.83
64,2022,4,62.83,0.0414387535222939,61.9475,202,0.38,2204.2,4.66,0.17,0.31,0.09,0.63,0.74,0.0,0.31,0.69,262,307,0.17,0.04,60.33,63.99,60.64,61.9475,1.7584533924255814,0,1,0,0,0,0,0,0,1,61.09
65,2022,5,61.09,-0.0276937768581886,62.06,186,0.54,1564.04,4.08,0.48,0.56,0.05,0.62,0.08,0.3,0.56,0.44,284,289,0.25,0.32,62.83,60.33,63.99,62.059999999999995,1.6584731934321468,0,1,0,0,0,0,0,0,1,62.04
66,2022,5,62.04,0.0155508266492059,61.572500000000005,176,0.34,1926.58,4.11,0.42,0.18,0.16,0.14,0.22,0.64,0.18,0.82,277,342,0.19,0.34,61.09,62.83,60.33,61.572500000000005,1.0918600337648954,0,1,0,0,0,0,0,0,1,52.74
67,2022,5,52.74,-0.1499032882011605,59.675,162,0.89,1899.9,4.58,0.33,0.44,0.07,0.13,0.38,0.49,0.44,0.56,256,291,0.13,0.34,62.04,61.09,62.83,59.675,4.677738057366327,0,1,0,0,0,0,0,0,0,61.65
68,2022,5,61.65,0.1689419795221842,59.38,188,0.84,1833.37,4.42,0.08,0.48,0.14,0.31,0.67,0.02,0.48,0.52,246,316,0.07,0.22,52.74,62.04,61.09,59.38,4.443804676175586,0,1,0,0,0,0,0,0,2,59.96
69,2022,6,59.96,-0.0274128142741281,59.0975,181,0.66,1958.16,4.09,0.38,0.09,0.16,0.51,0.75,0.0,0.09,0.91,272,337,0.17,0.2,61.65,52.74,62.04,59.097500000000004,4.333408012177026,1,0,0,0,0,0,0,0,1,51.37
70,2022,6,51.37,-0.1432621747831888,56.43000000000001,140,0.74,1922.52,4.33,0.11,0.14,0.39,0.33,0.38,0.29,0.14,0.86,246,317,0.22,0.23,59.96,61.65,52.74,56.43000000000001,5.129294948301092,1,0,0,0,0,0,0,0,0,53.88
71,2022,6,53.88,0.048861203036792,56.715,148,0.61,1955.76,3.87,0.15,0.3,0.12,0.23,0.23,0.54,0.3,0.7,257,294,0.15,0.13,51.37,59.96,61.65,56.715,4.881615169866123,1,0,0,0,0,0,0,0,1,49.8
72,2022,6,49.8,-0.0757238307349666,53.7525,148,0.33,1963.66,4.07,0.27,0.17,0.1,0.77,0.03,0.2,0.17,0.83,241,302,0.18,0.26,53.88,51.37,59.96,53.7525,4.46646299286891,1,0,0,0,0,0,0,0,0,45.8
73,2022,7,45.8,-0.0803212851405622,50.2125,127,0.69,2357.94,3.63,0.23,0.25,0.01,0.63,0.73,0.0,0.25,0.75,237,298,0.22,0.17,49.8,53.88,51.37,50.2125,3.387756140377879,1,0,0,0,0,0,0,0,0,40.88
74,2022,7,40.88,-0.1074235807860261,47.59,143,0.69,1805.09,4.14,0.4,0.31,0.11,0.75,0.33,0.0,0.31,0.69,266,257,0.13,0.31,45.8,49.8,53.88,47.59,5.558069209117052,1,0,0,0,0,0,0,0,0,53.55
75,2022,7,53.55,0.3099315068493149,47.50749999999999,160,0.64,2028.4,4.48,0.26,0.5,0.03,0.44,0.47,0.09,0.5,0.5,325,342,0.21,0.4,40.88,45.8,49.8,47.50749999999999,5.434662669691197,1,0,0,0,0,0,0,0,2,42.18
76,2022,7,42.18,-0.2123249299719887,45.6025,128,0.62,2155.33,4.35,0.41,0.83,0.19,0.64,0.56,0.0,0.83,0.17,213,259,0.2,0.14,53.55,40.88,45.8,45.6025,5.692605583854841,1,0,0,0,0,0,0,0,0,45.85
77,2022,8,45.85,0.0870080606922711,45.615,131,0.72,2427.02,3.9,0.21,0.37,0.02,0.43,0.18,0.39,0.37,0.63,182,325,0.24,0.27,42.18,53.55,40.88,45.614999999999995,5.693238679931542,1,0,0,0,0,0,0,0,2,36.98
78,2022,8,36.98,-0.1934569247546347,44.64,106,0.56,2273.53,4.55,0.07,0.57,0.05,0.38,0.02,0.6,0.57,0.43,219,272,0.18,0.54,45.85,42.18,53.55,44.64,6.966094075353046,1,0,0,0,0,0,0,0,0,38.95
79,2022,8,38.95,0.0532720389399676,40.99,137,0.35,2170.47,4.09,0.59,0.63,0.1,0.28,0.49,0.23,0.63,0.37,207,258,0.26,0.29,36.98,45.85,42.18,40.99,3.8849024011768054,1,0,0,0,0,0,0,0,2,33.77
80,2022,8,33.77,-0.1329910141206675,38.8875,75,0.47,1797.79,4.07,0.13,0.41,0.15,0.11,0.6,0.29,0.41,0.59,208,270,0.11,0.17,38.95,36.98,45.85,38.8875,5.109066287819748,1,0,0,0,0,0,0,0,0,37.34
81,2022,9,37.34,0.1057151317737636,36.760000000000005,93,0.32,1682.77,4.55,0.24,0.48,0.01,0.69,0.21,0.1,0.48,0.52,207,267,0.2,0.24,33.77,38.95,36.98,36.760000000000005,2.1695621678124857,0,0,0,0,0,0,0,0,2,35.36
82,2022,9,35.36,-0.0530262453133369,36.355,97,0.44,2032.99,4.44,0.05,0.22,0.29,0.26,0.52,0.22,0.22,0.78,217,268,0.26,0.21,37.34,33.77,38.95,36.355000000000004,2.2639567133678296,0,0,0,0,0,0,0,0,0,39.71
83,2022,9,39.71,0.1230203619909502,36.545,130,0.81,1548.9,3.97,0.61,0.27,0.15,0.34,0.09,0.57,0.27,0.73,249,256,0.32,0.25,35.36,37.34,33.77,36.545,2.5660670295226584,0,0,0,0,0,0,0,0,2,37.99
84,2022,9,37.99,-0.043314026693528,37.6,112,0.66,2196.23,4.04,0.27,0.21,0.01,0.3,0.38,0.32,0.21,0.79,188,256,0.21,0.19,39.71,35.36,37.34,37.6,1.7971644332122554,0,0,0,0,0,0,0,0,1,38.29
85,2022,10,38.29,0.0078968149513027,37.8375,111,0.36,1808.01,4.21,0.34,0.56,0.03,0.38,0.51,0.11,0.56,0.44,231,313,0.14,0.32,37.99,39.71,35.36,37.8375,1.8140447440282266,0,0,0,0,0,0,0,0,1,30.34
86,2022,10,30.34,-0.2076260120135805,36.5825,94,0.64,1894.31,3.81,0.44,0.28,0.31,0.57,0.67,0.0,0.28,0.72,200,227,0.2,0.08,38.29,37.99,39.71,36.5825,4.228737991411061,0,0,0,0,0,0,0,0,0,36.07
87,2022,10,36.07,0.1888595912986157,35.6725,106,0.31,2291.42,3.76,0.28,0.15,0.13,0.53,0.18,0.29,0.15,0.85,206,247,0.3,0.64,30.34,38.29,37.99,35.6725,3.688526128415436,0,0,0,0,0,0,0,0,2,38.12
88,2022,10,38.12,0.0568339340171886,35.705,106,0.72,1842.67,3.64,0.62,0.3,0.13,0.59,0.47,0.0,0.3,0.7,231,269,0.22,0.49,36.07,30.34,38.29,35.705,3.7162211990143104,0,0,0,0,0,0,0,0,2,38.79
89,2022,11,38.79,0.017576075550892,35.83,126,0.85,2182.55,4.32,0.23,0.44,0.07,0.47,0.19,0.34,0.44,0.56,250,283,0.17,0.35,38.12,36.07,30.34,35.83,3.8385500734873848,0,0,0,0,0,0,0,0,1,41.61
90,2022,11,41.61,0.0726991492652746,38.6475,118,0.58,2010.22,3.84,0.34,0.35,0.07,0.24,0.27,0.49,0.35,0.65,274,283,0.26,0.19,38.79,38.12,36.07,38.6475,2.2889935925357308,0,0,0,0,0,0,0,0,2,39.42
91,2022,11,39.42,-0.0526315789473683,39.485,126,0.75,1934.39,4.13,0.09,0.16,0.28,0.55,0.37,0.08,0.16,0.84,262,315,0.23,0.06,41.61,38.79,38.12,39.485,1.5128450019756994,0,0,0,0,0,0,0,0,0,45.42
92,2022,11,45.42,0.15220700152207,41.31,128,0.38,2073.23,3.95,0.06,0.43,0.08,0.25,0.6,0.15,0.43,0.57,295,240,0.27,0.1,39.42,41.61,38.79,41.31,2.9946953100445137,0,0,0,0,0,0,0,0,2,43.28
93,2022,12,43.28,-0.0471158080140907,42.432500000000005,131,0.84,2079.03,3.81,0.13,0.3,0.07,0.29,0.67,0.04,0.3,0.7,217,295,0.16,0.16,45.42,39.42,41.61,42.432500000000005,2.542641343171004,0,0,1,0,0,0,0,0,1,47.77
94,2022,12,47.77,0.1037430683918669,43.9725,142,0.45,1898.92,3.94,0.27,0.19,0.01,0.08,0.41,0.51,0.19,0.81,271,271,0.12,0.28,43.28,45.42,39.42,43.9725,3.545940166820204,0,0,1,0,0,0,0,0,2,48.85
95,2022,12,48.85,0.0226083315888632,46.33,149,0.86,1890.27,4.58,0.05,0.56,0.2,0.21,0.24,0.55,0.56,0.44,230,314,0.16,0.06,47.77,43.28,45.42,46.33,2.4869392165206943,0,0,1,0,0,0,0,0,1,45.72
96,2022,12,45.72,-0.0640736949846468,46.405,136,0.31,2208.92,3.75,0.18,0.45,0.13,0.22,0.6,0.18,0.45,0.55,259,323,0.22,0.31,48.85,47.77,43.28,46.405,2.4546622306681125,0,0,1,0,0,0,0,0,0,55.0
97,2023,1,55.0,0.2029746281714786,49.33500000000001,180,0.77,1962.71,4.36,0.5,0.17,0.06,0.54,0.26,0.2,0.17,0.83,254,325,0.26,0.15,45.72,48.85,47.77,49.33500000000001,3.9935322710604813,0,0,1,0,0,0,0,0,2,49.49
98,2023,1,49.49,-0.1001818181818181,49.765,150,0.83,1966.47,4.43,0.06,0.24,0.01,0.71,0.75,0.0,0.24,0.76,247,295,0.2,0.17,55.0,45.72,48.85,49.765,3.8591924889370444,0,0,1,0,0,0,0,0,0,54.83
99,2023,1,54.83,0.107900585976965,51.26,171,0.4,1973.51,4.13,0.22,0.39,0.08,0.65,0.41,0.0,0.39,0.61,263,343,0.23,0.61,49.49,55.0,45.72,51.26,4.492846165479952,0,0,1,0,0,0,0,0,2,56.08
100,2023,1,56.08,0.0227977384643442,53.85,170,0.89,2080.04,3.78,0.17,0.31,0.02,0.4,0.8,0.0,0.31,0.69,230,326,0.15,0.35,54.83,49.49,55.0,53.849999999999994,2.9589074560273465,0,0,1,0,0,0,0,0,1,62.89
101,2023,2,62.89,0.1214336661911554,55.8225,178,0.3,2370.77,3.27,0.22,0.08,0.39,0.48,0.29,0.23,0.08,0.92,305,336,0.27,0.37,56.08,54.83,49.49,55.8225,5.510640464894618,0,0,1,0,0,0,0,0,2,60.42
102,2023,2,60.42,-0.0392749244712991,58.555,172,0.46,2419.23,3.96,0.4,0.27,0.25,0.53,0.57,0.0,0.27,0.73,262,334,0.15,0.2,62.89,56.08,54.83,58.555,3.753740356853012,0,0,1,0,0,0,0,0,1,65.94
103,2023,2,65.94,0.0913604766633564,61.3325,191,0.5,8763.73,4.48,0.25,0.21,0.1,0.27,0.16,0.57,0.21,0.79,274,308,0.21,0.35,60.42,62.89,56.08,61.332499999999996,4.166384323767225,0,0,1,0,0,0,0,0,2,59.21
104,2023,2,59.21,-0.1020624810433726,62.115,181,0.37,1535.7,4.09,0.42,0.29,0.31,0.48,0.51,0.01,0.29,0.71,286,309,0.23,0.3,65.94,60.42,62.89,62.115,2.9745195690508592,0,0,1,0,0,0,0,0,0,65.66
105,2023,3,65.66,0.1089343016382367,62.8075,191,0.73,1883.31,3.87,0.52,0.29,0.05,0.66,0.48,0.0,0.29,0.71,241,310,0.24,0.39,59.21,65.94,60.42,62.8075,3.492443032224446,0,1,0,0,0,0,0,0,2,62.44
