week,year,month,season,category,search_index,search_growth,momentum_4w,keyword_frequency,brand_popularity,avg_price,avg_rating,cotton_ratio,printed_ratio,oversized_ratio,pastel_ratio,dark_ratio,bright_ratio,pattern_printed_ratio,pattern_plain_ratio,image_count,availability_count,discount_avg,new_arrival_ratio,trend_label,next_week_search
18,2021,5,Summer,Hoodie,58.28,0.02191828862002465,61.8875,155,0.54,1864.9,3.73,0.23,0.54,0.27,0.43,0.1,0.47,0.54,0.46,246,297,0.13,0.14,1,59.07
19,2021,5,Summer,Hoodie,59.07,0.013555250514756256,59.555,185,0.4,2047.77,4.58,0.41,0.86,0.0,0.11,0.18,0.71,0.86,0.14,257,309,0.22,0.25,1,58.8
20,2021,5,Summer,Hoodie,58.8,-0.004570848146267181,58.295,181,0.72,1840.89,4.23,0.02,0.49,0.04,0.46,0.2,0.34,0.49,0.51,242,282,0.22,0.47,1,59.39
21,2021,6,Monsoon,Hoodie,59.39,0.010034013605442205,58.885,188,0.34,2174.44,4.01,0.32,0.3,0.05,0.38,0.35,0.27,0.3,0.7,226,319,0.25,0.09,1,57.77
22,2021,6,Monsoon,Hoodie,57.77,-0.027277319414042767,58.7575,162,0.74,1926.9,4.05,0.31,0.25,0.12,0.22,0.83,0.0,0.25,0.75,268,309,0.23,0.49,1,56.75
23,2021,6,Monsoon,Hoodie,56.75,-0.017656222953089884,58.1775,178,0.84,2172.44,3.68,0.52,0.46,0.03,0.32,0.39,0.29,0.46,0.54,267,319,0.15,0.1,1,51.29
24,2021,6,Monsoon,Hoodie,51.29,-0.09621145374449336,56.3,150,0.43,2004.95,4.66,0.1,0.38,0.12,0.43,0.22,0.35,0.38,0.62,281,293,0.27,0.15,0,50.88
25,2021,7,Monsoon,Hoodie,50.88,-0.007993760967050068,54.1725,155,0.38,1967.09,4.42,0.28,0.6,0.24,0.27,0.34,0.39,0.6,0.4,244,246,0.27,0.15,1,48.69
26,2021,7,Monsoon,Hoodie,48.69,-0.043042452830188815,51.9025,141,0.79,1830.13,4.34,0.2,0.34,0.26,0.59,0.22,0.19,0.34,0.66,238,270,0.17,0.24,1,45.41
27,2021,7,Monsoon,Hoodie,45.41,-0.06736496200451836,49.067499999999995,134,0.62,1834.7,4.03,0.18,0.13,0.19,0.45,0.18,0.37,0.13,0.87,261,310,0.2,0.11,0,46.55
28,2021,7,Monsoon,Hoodie,46.55,0.025104602510460206,47.8825,152,0.63,2332.75,4.19,0.1,0.41,0.0,0.06,0.48,0.46,0.41,0.59,267,285,0.17,0.04,1,41.12
29,2021,8,Monsoon,Hoodie,41.12,-0.1166487647690655,45.442499999999995,116,0.31,1635.85,3.89,0.48,0.18,0.07,0.27,0.42,0.31,0.18,0.82,236,284,0.15,0.36,0,42.97
30,2021,8,Monsoon,Hoodie,42.97,0.04499027237354092,44.012499999999996,120,0.48,2218.42,3.94,0.24,0.58,0.12,0.23,0.3,0.47,0.58,0.42,244,313,0.17,0.51,1,40.16
31,2021,8,Monsoon,Hoodie,40.16,-0.0653944612520364,42.699999999999996,114,0.82,1988.59,4.46,0.24,0.27,0.01,0.06,0.26,0.68,0.27,0.73,224,230,0.19,0.14,0,36.03
32,2021,8,Monsoon,Hoodie,36.03,-0.10283864541832655,40.07,106,0.86,2153.73,4.37,0.25,0.24,0.13,0.4,0.65,0.0,0.24,0.76,256,269,0.22,0.33,0,37.07
33,2021,9,Autumn,Hoodie,37.07,0.02886483485983904,39.0575,98,0.59,2090.41,3.99,0.03,0.64,0.09,0.88,0.35,0.0,0.64,0.36,234,257,0.21,0.11,1,35.86
34,2021,9,Autumn,Hoodie,35.86,-0.03264094955489616,37.28,129,0.42,1881.13,4.11,0.07,0.44,0.18,0.85,0.56,0.0,0.44,0.56,201,312,0.3,0.27,1,38.4
35,2021,9,Autumn,Hoodie,38.4,0.07083100948131626,36.839999999999996,109,0.55,2008.77,4.39,0.15,0.49,0.26,0.37,0.45,0.18,0.49,0.51,223,253,0.2,0.14,2,33.35
36,2021,9,Autumn,Hoodie,33.35,-0.13151041666666663,36.17,101,0.46,2155.6,3.86,0.22,0.2,0.06,0.59,0.54,0.0,0.2,0.8,244,269,0.27,0.07,0,32.14
37,2021,10,Autumn,Hoodie,32.14,-0.03628185907046477,34.9375,110,0.61,1954.38,4.13,0.11,0.75,0.06,0.6,0.52,0.0,0.75,0.25,189,299,0.28,0.3,1,38.01
38,2021,10,Autumn,Hoodie,38.01,0.1826384567517112,35.475,107,0.88,2172.85,3.29,0.39,0.21,0.28,0.62,0.21,0.17,0.21,0.79,224,244,0.21,0.27,2,34.23
39,2021,10,Autumn,Hoodie,34.23,-0.09944751381215478,34.4325,97,0.6,2374.21,3.84,0.29,0.07,0.34,0.24,0.74,0.02,0.07,0.93,236,292,0.19,0.16,0,39.37
40,2021,10,Autumn,Hoodie,39.37,0.15016067776803976,35.9375,100,0.89,2142.95,4.03,0.23,0.25,0.23,0.29,0.48,0.23,0.25,0.75,229,270,0.22,0.31,2,39.04
41,2021,11,Autumn,Hoodie,39.04,-0.008382016764033495,37.662499999999994,113,0.88,2145.95,3.82,0.44,0.1,0.1,0.85,0.66,0.0,0.1,0.9,233,315,0.14,0.55,1,42.08
42,2021,11,Autumn,Hoodie,42.08,0.07786885245901631,38.68,120,0.47,1777.96,4.41,0.47,0.33,0.28,0.43,0.45,0.12,0.33,0.67,227,292,0.22,0.37,2,44.82
43,2021,11,Autumn,Hoodie,44.82,0.06511406844106471,41.3275,153,0.46,2009.31,4.2,0.42,0.11,0.01,0.23,0.75,0.02,0.11,0.89,232,259,0.26,0.13,2,40.52
44,2021,11,Autumn,Hoodie,40.52,-0.09593931280678258,41.614999999999995,135,0.68,1927.11,4.15,0.45,0.51,0.01,0.31,0.38,0.31,0.51,0.49,228,272,0.19,0.19,0,46.58
45,2021,12,Winter,Hoodie,46.58,0.1495557749259624,43.5,147,0.67,2067.01,4.27,0.54,0.28,0.01,0.3,0.77,0.0,0.28,0.72,268,306,0.11,0.21,2,47.19
46,2021,12,Winter,Hoodie,47.19,0.013095749248604571,44.7775,154,0.56,1860.53,4.44,0.54,0.21,0.31,0.52,0.61,0.0,0.21,0.79,267,293,0.17,0.08,1,42.37
47,2021,12,Winter,Hoodie,42.37,-0.10214028395846575,44.165,153,0.73,2173.64,4.0,0.53,0.38,0.27,0.08,0.34,0.58,0.38,0.62,283,304,0.16,0.57,0,47.22
48,2021,12,Winter,Hoodie,47.22,0.11446778380929912,45.839999999999996,143,0.68,1965.6,4.09,0.48,0.12,0.11,0.61,0.44,0.0,0.12,0.88,259,302,0.23,0.1,2,47.69
49,2022,1,Winter,Hoodie,47.69,0.009953409572215133,46.1175,160,0.71,1498.21,3.87,0.09,0.68,0.18,0.37,0.34,0.29,0.68,0.32,231,296,0.19,0.06,1,50.32
50,2022,1,Winter,Hoodie,50.32,0.05514782973369692,46.9,146,0.66,1824.07,4.3,0.19,0.81,0.16,0.43,0.38,0.19,0.81,0.19,233,299,0.22,0.3,2,56.43
51,2022,1,Winter,Hoodie,56.43,0.12142289348171698,50.415,184,0.49,1916.18,4.35,0.1,0.11,0.05,0.69,0.69,0.0,0.11,0.89,262,315,0.26,0.37,2,60.49
52,2022,1,Winter,Hoodie,60.49,0.0719475456317562,53.7325,187,0.77,1940.99,3.96,0.27,0.13,0.05,0.36,0.1,0.54,0.13,0.87,260,341,0.19,0.17,2,63.36
53,2022,2,Winter,Hoodie,63.36,0.047445858819639586,57.65,186,0.86,1885.1,4.36,0.31,0.24,0.21,0.28,0.49,0.23,0.24,0.76,280,356,0.17,0.25,1,59.8
54,2022,2,Winter,Hoodie,59.8,-0.05618686868686873,60.019999999999996,192,0.38,2035.11,3.79,0.21,0.22,0.07,0.59,0.51,0.0,0.22,0.78,265,309,0.25,0.7,0,64.83
55,2022,2,Winter,Hoodie,64.83,0.08411371237458187,62.12,177,0.71,1868.36,3.87,0.42,0.52,0.12,0.47,0.81,0.0,0.52,0.48,291,329,0.23,0.19,2,63.73
56,2022,2,Winter,Hoodie,63.73,-0.016967453339503336,62.93,179,0.7,2299.86,4.2,0.32,0.29,0.1,0.85,0.08,0.07,0.29,0.71,253,338,0.23,0.14,1,64.37
57,2022,3,Summer,Hoodie,64.37,0.010042366232543731,63.1825,183,0.84,1907.04,4.29,0.46,0.44,0.19,0.06,0.15,0.79,0.44,0.56,288,292,0.21,0.29,1,64.48
58,2022,3,Summer,Hoodie,64.48,0.001708870591890621,64.3525,204,0.67,2003.81,4.3,0.33,0.05,0.07,0.47,0.41,0.12,0.05,0.95,261,301,0.13,0.26,1,71.92
59,2022,3,Summer,Hoodie,71.92,0.11538461538461542,66.125,225,0.81,1815.64,4.13,0.3,0.2,0.2,0.26,0.08,0.66,0.2,0.8,292,332,0.23,0.16,2,71.63
60,2022,3,Summer,Hoodie,71.63,-0.0040322580645162365,68.1,215,0.83,2057.93,3.96,0.41,0.15,0.01,0.06,0.72,0.22,0.15,0.85,309,351,0.22,0.24,1,60.64
61,2022,4,Summer,Hoodie,60.64,-0.15342733491553817,67.1675,178,0.67,1794.94,3.98,0.09,0.5,0.0,0.08,0.09,0.83,0.5,0.5,268,318,0.22,0.1,0,63.99
62,2022,4,Summer,Hoodie,63.99,0.05524406332453835,67.045,207,0.34,1677.33,3.86,0.58,0.17,0.1,0.58,0.22,0.2,0.17,0.83,254,330,0.21,0.11,2,60.33
63,2022,4,Summer,Hoodie,60.33,-0.05719643694327248,64.1475,196,0.43,2177.8,4.62,0.17,0.26,0.28,0.64,0.37,0.0,0.26,0.74,250,311,0.16,0.07,0,62.83
64,2022,4,Summer,Hoodie,62.83,0.04143875352229398,61.9475,202,0.38,2204.2,4.66,0.17,0.31,0.09,0.63,0.74,0.0,0.31,0.69,262,307,0.17,0.04,1,61.09
65,2022,5,Summer,Hoodie,61.09,-0.027693776858188635,62.059999999999995,186,0.54,1564.04,4.08,0.48,0.56,0.05,0.62,0.08,0.3,0.56,0.44,284,289,0.25,0.32,1,62.04
66,2022,5,Summer,Hoodie,62.04,0.015550826649205929,61.572500000000005,176,0.34,1926.58,4.11,0.42,0.18,0.16,0.14,0.22,0.64,0.18,0.82,277,342,0.19,0.34,1,52.74
67,2022,5,Summer,Hoodie,52.74,-0.1499032882011605,59.675,162,0.89,1899.9,4.58,0.33,0.44,0.07,0.13,0.38,0.49,0.44,0.56,256,291,0.13,0.34,0,61.65
68,2022,5,Summer,Hoodie,61.65,0.16894197952218426,59.38,188,0.84,1833.37,4.42,0.08,0.48,0.14,0.31,0.67,0.02,0.48,0.52,246,316,0.07,0.22,2,59.96
69,2022,6,Monsoon,Hoodie,59.96,-0.027412814274128117,59.097500000000004,181,0.66,1958.16,4.09,0.38,0.09,0.16,0.51,0.75,0.0,0.09,0.91,272,337,0.17,0.2,1,51.37
70,2022,6,Monsoon,Hoodie,51.37,-0.1432621747831888,56.43000000000001,140,0.74,1922.52,4.33,0.11,0.14,0.39,0.33,0.38,0.29,0.14,0.86,246,317,0.22,0.23,0,53.88
71,2022,6,Monsoon,Hoodie,53.88,0.04886120303679209,56.715,148,0.61,1955.76,3.87,0.15,0.3,0.12,0.23,0.23,0.54,0.3,0.7,257,294,0.15,0.13,1,49.8
72,2022,6,Monsoon,Hoodie,49.8,-0.07572383073496669,53.7525,148,0.33,1963.66,4.07,0.27,0.17,0.1,0.77,0.03,0.2,0.17,0.83,241,302,0.18,0.26,0,45.8
73,2022,7,Monsoon,Hoodie,45.8,-0.08032128514056225,50.2125,127,0.69,2357.94,3.63,0.23,0.25,0.01,0.63,0.73,0.0,0.25,0.75,237,298,0.22,0.17,0,40.88
74,2022,7,Monsoon,Hoodie,40.88,-0.1074235807860261,47.59,143,0.69,1805.09,4.14,0.4,0.31,0.11,0.75,0.33,0.0,0.31,0.69,266,257,0.13,0.31,0,53.55
75,2022,7,Monsoon,Hoodie,53.55,0.3099315068493149,47.50749999999999,160,0.64,2028.4,4.48,0.26,0.5,0.03,0.44,0.47,0.09,0.5,0.5,325,342,0.21,0.4,2,42.18
76,2022,7,Monsoon,Hoodie,42.18,-0.2123249299719887,45.6025,128,0.62,2155.33,4.35,0.41,0.83,0.19,0.64,0.56,0.0,0.83,0.17,213,259,0.2,0.14,0,45.85
77,2022,8,Monsoon,Hoodie,45.85,0.08700806069227118,45.614999999999995,131,0.72,2427.02,3.9,0.21,0.37,0.02,0.43,0.18,0.39,0.37,0.63,182,325,0.24,0.27,2,36.98
78,2022,8,Monsoon,Hoodie,36.98,-0.19345692475463472,44.64,106,0.56,2273.53,4.55,0.07,0.57,0.05,0.38,0.02,0.6,0.57,0.43,219,272,0.18,0.54,0,38.95
79,2022,8,Monsoon,Hoodie,38.95,0.05327203893996768,40.99,137,0.35,2170.47,4.09,0.59,0.63,0.1,0.28,0.49,0.23,0.63,0.37,207,258,0.26,0.29,2,33.77
80,2022,8,Monsoon,Hoodie,33.77,-0.1329910141206675,38.8875,75,0.47,1797.79,4.07,0.13,0.41,0.15,0.11,0.6,0.29,0.41,0.59,208,270,0.11,0.17,0,37.34
81,2022,9,Autumn,Hoodie,37.34,0.10571513177376368,36.760000000000005,93,0.32,1682.77,4.55,0.24,0.48,0.01,0.69,0.21,0.1,0.48,0.52,207,267,0.2,0.24,2,35.36
82,2022,9,Autumn,Hoodie,35.36,-0.053026245313336995,36.355000000000004,97,0.44,2032.99,4.44,0.05,0.22,0.29,0.26,0.52,0.22,0.22,0.78,217,268,0.26,0.21,0,39.71
83,2022,9,Autumn,Hoodie,39.71,0.12302036199095023,36.545,130,0.81,1548.9,3.97,0.61,0.27,0.15,0.34,0.09,0.57,0.27,0.73,249,256,0.32,0.25,2,37.99
84,2022,9,Autumn,Hoodie,37.99,-0.04331402669352802,37.6,112,0.66,2196.23,4.04,0.27,0.21,0.01,0.3,0.38,0.32,0.21,0.79,188,256,0.21,0.19,1,38.29
85,2022,10,Autumn,Hoodie,38.29,0.007896814951302789,37.8375,111,0.36,1808.01,4.21,0.34,0.56,0.03,0.38,0.51,0.11,0.56,0.44,231,313,0.14,0.32,1,30.34
86,2022,10,Autumn,Hoodie,30.34,-0.20762601201358055,36.5825,94,0.64,1894.31,3.81,0.44,0.28,0.31,0.57,0.67,0.0,0.28,0.72,200,227,0.2,0.08,0,36.07
87,2022,10,Autumn,Hoodie,36.07,0.18885959129861574,35.6725,106,0.31,2291.42,3.76,0.28,0.15,0.13,0.53,0.18,0.29,0.15,0.85,206,247,0.3,0.64,2,38.12
88,2022,10,Autumn,Hoodie,38.12,0.056833934017188614,35.705,106,0.72,1842.67,3.64,0.62,0.3,0.13,0.59,0.47,0.0,0.3,0.7,231,269,0.22,0.49,2,38.79
89,2022,11,Autumn,Hoodie,38.79,0.017576075550892023,35.83,126,0.85,2182.55,4.32,0.23,0.44,0.07,0.47,0.19,0.34,0.44,0.56,250,283,0.17,0.35,1,41.61
90,2022,11,Autumn,Hoodie,41.61,0.07269914926527465,38.6475,118,0.58,2010.22,3.84,0.34,0.35,0.07,0.24,0.27,0.49,0.35,0.65,274,283,0.26,0.19,2,39.42
91,2022,11,Autumn,Hoodie,39.42,-0.05263157894736836,39.485,126,0.75,1934.39,4.13,0.09,0.16,0.28,0.55,0.37,0.08,0.16,0.84,262,315,0.23,0.06,0,45.42
92,2022,11,Autumn,Hoodie,45.42,0.15220700152207,41.31,128,0.38,2073.23,3.95,0.06,0.43,0.08,0.25,0.6,0.15,0.43,0.57,295,240,0.27,0.1,2,43.28
93,2022,12,Winter,Hoodie,43.28,-0.047115808014090765,42.432500000000005,131,0.84,2079.03,3.81,0.13,0.3,0.07,0.29,0.67,0.04,0.3,0.7,217,295,0.16,0.16,1,47.77
94,2022,12,Winter,Hoodie,47.77,0.10374306839186698,43.9725,142,0.45,1898.92,3.94,0.27,0.19,0.01,0.08,0.41,0.51,0.19,0.81,271,271,0.12,0.28,2,48.85
95,2022,12,Winter,Hoodie,48.85,0.022608331588863217,46.33,149,0.86,1890.27,4.58,0.05,0.56,0.2,0.21,0.24,0.55,0.56,0.44,230,314,0.16,0.06,1,45.72
96,2022,12,Winter,Hoodie,45.72,-0.06407369498464688,46.405,136,0.31,2208.92,3.75,0.18,0.45,0.13,0.22,0.6,0.18,0.45,0.55,259,323,0.22,0.31,0,55.0
97,2023,1,Winter,Hoodie,55.0,0.2029746281714786,49.33500000000001,180,0.77,1962.71,4.36,0.5,0.17,0.06,0.54,0.26,0.2,0.17,0.83,254,325,0.26,0.15,2,49.49
98,2023,1,Winter,Hoodie,49.49,-0.10018181818181815,49.765,150,0.83,1966.47,4.43,0.06,0.24,0.01,0.71,0.75,0.0,0.24,0.76,247,295,0.2,0.17,0,54.83
99,2023,1,Winter,Hoodie,54.83,0.10790058597696506,51.26,171,0.4,1973.51,4.13,0.22,0.39,0.08,0.65,0.41,0.0,0.39,0.61,263,343,0.23,0.61,2,56.08
100,2023,1,Winter,Hoodie,56.08,0.022797738464344297,53.849999999999994,170,0.89,2080.04,3.78,0.17,0.31,0.02,0.4,0.8,0.0,0.31,0.69,230,326,0.15,0.35,1,62.89
101,2023,2,Winter,Hoodie,62.89,0.12143366619115548,55.8225,178,0.3,2370.77,3.27,0.22,0.08,0.39,0.48,0.29,0.23,0.08,0.92,305,336,0.27,0.37,2,60.42
102,2023,2,Winter,Hoodie,60.42,-0.0392749244712991,58.555,172,0.46,2419.23,3.96,0.4,0.27,0.25,0.53,0.57,0.0,0.27,0.73,262,334,0.15,0.2,1,65.94
103,2023,2,Winter,Hoodie,65.94,0.09136047666335645,61.332499999999996,191,0.5,8763.73,4.48,0.25,0.21,0.1,0.27,0.16,0.57,0.21,0.79,274,308,0.21,0.35,2,59.21
104,2023,2,Winter,Hoodie,59.21,-0.10206248104337268,62.115,181,0.37,1535.7,4.09,0.42,0.29,0.31,0.48,0.51,0.01,0.29,0.71,286,309,0.23,0.3,0,65.66
105,2023,3,Summer,Hoodie,65.66,0.1089343016382367,62.8075,191,0.73,1883.31,3.87,0.52,0.29,0.05,0.66,0.48,0.0,0.29,0.71,241,310,0.24,0.39,2,62.44
106,2023,3,Summer,Hoodie,62.44,-0.049040511727078906,63.3125,180,0.52,1992.22,3.74,0.11,0.26,0.37,0.42,0.19,0.39,0.26,0.74,253,337,0.23,0.38,1,63.86
107,2023,3,Summer,Hoodie,63.86,0.0227418321588726,62.792500000000004,183,0.32,1853.54,3.93,0.07,0.33,0.1,0.27,0.3,0.43,0.33,0.67,276,287,0.17,0.42,1,68.95
108,2023,3,Summer,Hoodie,68.95,0.0797056060131538,65.22749999999999,223,0.5,2082.03,3.79,0.3,0.19,0.11,0.82,0.6,0.0,0.19,0.81,297,374,0.23,0.56,2,69.64
109,2023,4,Summer,Hoodie,69.64,0.010007251631616976,66.2225,229,0.33,1828.93,3.9,0.24,0.16,0.05,0.25,0.14,0.61,0.16,0.84,298,357,0.18,0.22,1,66.72
110,2023,4,Summer,Hoodie,66.72,-0.04192992533026996,67.2925,194,0.64,1767.96,4.06,0.11,0.15,0.1,0.69,0.56,0.0,0.15,0.85,286,337,0.23,0.13,1,66.82
111,2023,4,Summer,Hoodie,66.82,0.0014988009592324936,68.0325,182,0.66,1597.88,3.78,0.16,0.12,0.18,0.51,0.52,0.0,0.12,0.88,299,326,0.21,0.11,1,59.66
112,2023,4,Summer,Hoodie,59.66,-0.10715354684226275,65.71,164,0.34,1576.6,4.01,0.13,0.74,0.16,0.34,0.45,0.21,0.74,0.26,316,341,0.11,0.19,0,60.94
113,2023,5,Summer,Hoodie,60.94,0.021454911163258483,63.535,171,0.88,1956.52,4.0,0.07,0.28,0.24,0.8,0.64,0.0,0.28,0.72,276,284,0.25,0.05,1,63.07
114,2023,5,Summer,Hoodie,63.07,0.03495241220872991,62.622499999999995,204,0.7,1910.89,4.14,0.17,0.48,0.04,0.36,0.74,0.0,0.48,0.52,273,307,0.19,0.48,1,54.2
115,2023,5,Summer,Hoodie,54.2,-0.14063738703028372,59.4675,158,0.35,1902.67,3.86,0.64,0.52,0.15,0.15,0.46,0.39,0.52,0.48,286,365,0.24,0.28,0,59.97
116,2023,5,Summer,Hoodie,59.97,0.10645756457564559,59.544999999999995,175,0.59,1827.57,3.83,0.32,0.6,0.5,0.62,0.48,0.0,0.6,0.4,274,354,0.09,0.13,2,55.31
117,2023,6,Monsoon,Hoodie,55.31,-0.07770551942637982,58.1375,155,0.62,1863.19,3.82,0.66,0.41,0.1,0.34,0.85,0.0,0.41,0.59,252,300,0.23,0.22,0,57.92
118,2023,6,Monsoon,Hoodie,57.92,0.047188573494847175,56.85,174,0.5,1913.85,4.27,0.15,0.29,0.2,0.86,0.23,0.0,0.29,0.71,293,323,0.21,0.2,1,53.46
119,2023,6,Monsoon,Hoodie,53.46,-0.07700276243093929,56.665000000000006,156,0.82,1989.14,3.78,0.61,0.43,0.15,0.67,0.17,0.16,0.43,0.57,251,321,0.19,0.5,0,51.32
120,2023,6,Monsoon,Hoodie,51.32,-0.04002992891881785,54.502500000000005,150,0.65,2175.42,4.28,0.6,0.33,0.15,0.55,0.22,0.23,0.33,0.67,264,314,0.2,0.3,1,41.9
121,2023,7,Monsoon,Hoodie,41.9,-0.18355416991426343,51.150000000000006,126,0.32,1611.6,4.17,0.44,0.33,0.17,0.71,0.78,0.0,0.33,0.67,204,276,0.15,0.09,0,43.19
122,2023,7,Monsoon,Hoodie,43.19,0.030787589498806556,47.4675,132,0.66,1894.18,4.03,0.21,0.43,0.04,0.11,0.33,0.56,0.43,0.57,233,288,0.17,0.21,1,41.06
123,2023,7,Monsoon,Hoodie,41.06,-0.049316971521185304,44.36750000000001,128,0.86,2063.84,3.87,0.47,0.11,0.16,0.07,0.31,0.62,0.11,0.89,232,267,0.18,0.12,1,41.03
124,2023,7,Monsoon,Hoodie,41.03,-0.000730638090599145,41.795,121,0.32,1792.21,4.41,0.56,0.22,0.13,0.39,0.73,0.0,0.22,0.78,233,257,0.22,0.58,1,36.62
125,2023,8,Monsoon,Hoodie,36.62,-0.10748233000243734,40.475,103,0.48,2087.81,3.99,0.17,0.03,0.44,0.57,0.66,0.0,0.03,0.97,186,241,0.19,0.27,0,37.9
126,2023,8,Monsoon,Hoodie,37.9,0.034953577280174786,39.1525,125,0.85,1770.12,3.5,0.43,0.33,0.11,0.57,0.41,0.02,0.33,0.67,198,290,0.2,0.15,1,35.88
127,2023,8,Monsoon,Hoodie,35.88,-0.053298153034300744,37.8575,122,0.62,2132.72,3.92,0.2,0.32,0.11,0.6,0.51,0.0,0.32,0.68,237,268,0.14,0.42,0,36.35
128,2023,8,Monsoon,Hoodie,36.35,0.013099219620958724,36.6875,109,0.63,1828.76,3.86,0.2,0.74,0.37,0.3,0.27,0.43,0.74,0.26,184,299,0.2,0.7,1,27.6
129,2023,9,Autumn,Hoodie,27.6,-0.24071526822558453,34.4325,72,0.85,1876.68,4.29,0.12,0.71,0.02,0.56,0.4,0.04,0.71,0.29,214,196,0.2,0.43,0,36.81
130,2023,9,Autumn,Hoodie,36.81,0.33369565217391295,34.160000000000004,104,0.38,2225.9,4.24,0.36,0.27,0.28,0.75,0.12,0.13,0.27,0.73,221,325,0.16,0.41,2,38.58
131,2023,9,Autumn,Hoodie,38.58,0.04808475957620195,34.835,107,0.61,1931.47,4.41,0.12,0.21,0.03,0.49,0.17,0.34,0.21,0.79,231,270,0.2,0.17,1,37.03
132,2023,9,Autumn,Hoodie,37.03,-0.04017625712804551,35.005,113,0.52,2048.26,3.63,0.11,0.29,0.1,0.09,0.34,0.57,0.29,0.71,193,295,0.14,0.08,1,37.6
133,2023,10,Autumn,Hoodie,37.6,0.015392924655684537,37.505,108,0.37,1967.46,4.3,0.37,0.69,0.01,0.4,0.47,0.13,0.69,0.31,239,261,0.16,0.05,1,32.95
134,2023,10,Autumn,Hoodie,32.95,-0.12367021276595735,36.540000000000006,114,0.76,1840.05,3.99,0.06,0.43,0.34,0.48,0.39,0.13,0.43,0.57,190,283,0.19,0.02,0,35.05
